Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,36000.0,36550.0,35600.0,36500.0,35196.7421875,355321
2018-01-03,36600.0,36700.0,36100.0,36500.0,35196.7421875,289206
2018-01-04,36600.0,36600.0,36100.0,36450.0,35148.52734375,235820
2018-01-05,36700.0,37200.0,35600.0,35850.0,34569.953125,341107
2018-01-08,35850.0,36050.0,34900.0,35050.0,33798.515625,357572
2018-01-09,35100.0,35750.0,34800.0,35350.0,34087.8046875,359861
2018-01-10,35450.0,35800.0,34850.0,34900.0,33653.87109375,507824
2018-01-11,35000.0,35100.0,34450.0,34700.0,33461.01171875,384651
2018-01-12,34650.0,35000.0,33750.0,33800.0,32593.1484375,736323
2018-01-15,33700.0,34100.0,33050.0,33250.0,32062.78515625,555007
2018-01-16,33000.0,33500.0,32600.0,33500.0,32303.861328125,685049
2018-01-17,33350.0,33550.0,32950.0,33150.0,31966.35546875,498867
2018-01-18,33100.0,33800.0,33100.0,33700.0,32496.71875,429901
2018-01-19,33700.0,33800.0,33200.0,33400.0,32207.431640625,280690
2018-01-22,33600.0,33600.0,32900.0,33050.0,31869.927734375,504928
2018-01-23,33150.0,33500.0,33000.0,33400.0,32207.431640625,333963
2018-01-24,33050.0,33500.0,33000.0,33400.0,32207.431640625,385312
2018-01-25,33350.0,33350.0,32950.0,33150.0,31966.35546875,456517
2018-01-26,33200.0,34300.0,33150.0,34100.0,32882.4375,795631
2018-01-29,34500.0,34550.0,34100.0,34200.0,32978.8671875,482834
2018-01-30,34300.0,34600.0,33800.0,33950.0,32737.79296875,468615
2018-01-31,34000.0,34250.0,33400.0,33650.0,32448.505859375,458790
2018-02-01,33750.0,33900.0,33300.0,33650.0,32448.505859375,276191
2018-02-02,33600.0,34600.0,32850.0,32950.0,31773.498046875,1220615
2018-02-05,32500.0,32600.0,31400.0,31400.0,30278.841796875,1027684
2018-02-06,30200.0,30700.0,29800.0,30350.0,29266.333984375,777109
2018-02-07,30700.0,30950.0,29850.0,29850.0,28784.185546875,509283
2018-02-08,29850.0,30250.0,29150.0,29300.0,28253.822265625,603054
2018-02-09,28500.0,28750.0,28150.0,28250.0,27241.314453125,574014
2018-02-12,28150.0,28300.0,26800.0,27400.0,26421.6640625,1058450
2018-02-13,27500.0,28250.0,27150.0,27250.0,26277.021484375,547971
2018-02-14,27250.0,27700.0,27150.0,27650.0,26662.736328125,296452
